日,単語,意味,例文（英語）,例文（日本語訳）
1,resilience,回復力,Her resilience helped her overcome many personal challenges.,彼女の回復力は多くの個人的な困難を乗り越える助けとなった。
2,gratitude,感謝,He expressed his gratitude through a heartfelt letter.,彼は心のこもった手紙で感謝の気持ちを伝えた。
3,efficient,効率的な,The new system is more efficient than the old one.,新しいシステムは古いものよりも効率的だ。
4,ambitious,野心的な,She’s very ambitious and aims to become a lawyer.,彼女は非常に野心的で、弁護士になることを目指している。
5,contribute,貢献する,Everyone should contribute to solving climate issues.,誰もが気候問題の解決に貢献すべきだ。
6,negotiate,交渉する,The two companies negotiated a new contract.,両社は新しい契約を交渉した。
7,emphasize,強調する,He emphasized the importance of daily practice.,彼は毎日の練習の重要性を強調した。
8,responsible,責任がある,She is responsible for managing the project.,彼女はそのプロジェクトの管理に責任を持っている。
9,determine,決定する／決心する,They determined to improve their performance.,彼らはパフォーマンスを改善すると決心した。
10,reliable,信頼できる,This car is old but still very reliable.,この車は古いが、それでも非常に信頼できる。
11,priority,優先事項,Safety is our top priority.,安全が私たちの最優先事項です。
12,criticize,批判する,The teacher criticized the report for lack of detail.,教師は詳細の欠如を理由にその報告を批判した。
13,apparent,明白な,It became apparent that he was not telling the truth.,彼が真実を話していないことが明白になった。
14,transform,変える、変化させる,The internet has transformed how we communicate.,インターネットは私たちのコミュニケーションの方法を変えた。
15,expand,拡大する,The company plans to expand into Asia next year.,その会社は来年アジアに進出する予定だ。
16,hesitate,ためらう,Don’t hesitate to ask if you need help.,助けが必要なら遠慮なく聞いてください。
17,consistent,一貫した,Her performance has been consistent throughout the year.,彼女の成績は1年を通して一貫していた。
18,maintain,維持する,It's important to maintain a healthy lifestyle.,健康的な生活を維持することが大切だ。
19,approve,承認する,The manager approved my vacation request.,マネージャーは私の休暇申請を承認した。
20,persuade,説得する,He persuaded me to join the team.,彼は私をチームに入るように説得した。
21,complicated,複雑な,The instructions were too complicated to follow.,指示が複雑すぎて従えなかった。
22,outcome,結果,The outcome of the meeting was positive.,会議の結果は良好だった。
23,threaten,脅す,Pollution threatens the survival of many animals.,汚染は多くの動物の生存を脅かしている。
24,confidence,自信,I have confidence in my decision.,自分の決断に自信があります。
25,convince,納得させる,He convinced me to try something new.,彼は私に何か新しいことを試すように納得させた。
26,achievement,達成、成果,Winning the award was a big achievement for her.,その賞を取ったことは彼女にとって大きな成果だった。
27,require,必要とする,This job requires strong communication skills.,この仕事には強いコミュニケーション能力が求められる。
28,flexible,柔軟な,He has a flexible approach to problem-solving.,彼は問題解決に柔軟な姿勢を持っている。
29,demonstrate,示す、実証する,She demonstrated her skills in the interview.,彼女は面接で自分のスキルを示した。
30,reflect,反映する／振り返る,The report reflects the team's hard work.,その報告書はチームの努力を反映している。
31,essential,不可欠な,Water is essential for all forms of life.,水はすべての生命の形にとって不可欠だ。
32,justify,正当化する,He tried to justify his absence with a weak excuse.,彼は弱い言い訳で欠席を正当化しようとした。
33,participate,参加する,Many students participated in the discussion.,多くの学生がその議論に参加した。
34,potential,潜在的な,She has the potential to become a great leader.,彼女には素晴らしいリーダーになる可能性がある。
35,evaluate,評価する,We need to evaluate the effectiveness of the new strategy.,新しい戦略の有効性を評価する必要がある。
36,interfere,干渉する,I don’t want to interfere in their private matters.,彼らの私的な問題に干渉したくない。
37,obstacle,障害,Lack of funding is a major obstacle to the project.,資金不足はそのプロジェクトの大きな障害だ。
38,regulate,規制する,The government regulates the sale of alcohol.,政府はアルコールの販売を規制している。
39,strategy,戦略,Their marketing strategy has been very successful.,彼らのマーケティング戦略は非常に成功している。
40,tendency,傾向,He has a tendency to speak without thinking.,彼には考えずに話す傾向がある。
41,capable,能力がある,She is capable of solving complex problems.,彼女は複雑な問題を解決する能力がある。
42,promote,推進する／昇進させる,The campaign aims to promote healthy eating habits.,そのキャンペーンは健康的な食習慣を推進することを目的としている。
43,rely,頼る,You can’t always rely on others for help.,いつも他人に助けを頼るわけにはいかない。
44,sustain,維持する,It's hard to sustain motivation without clear goals.,明確な目標なしではモチベーションを維持するのは難しい。
45,accurate,正確な,The report must be accurate and up to date.,その報告は正確で最新でなければならない。
46,illustrate,例示する,The chart illustrates the changes over time.,その図は時間の経過による変化を示している。
47,minimize,最小限にする,We must minimize the environmental impact.,環境への影響を最小限に抑えなければならない。
48,influence,影響,Social media has a strong influence on teenagers.,ソーシャルメディアは10代に強い影響を与えている。
49,generate,生み出す,The project generated a lot of interest.,そのプロジェクトは多くの関心を生み出した。
50,modify,修正する,You need to modify your plan to fit the new schedule.,新しいスケジュールに合わせて計画を修正する必要がある。
51,observe,観察する／順守する,Scientists observe animal behavior in the wild.,科学者たちは自然の中で動物の行動を観察している。
52,appropriate,適切な,Please wear appropriate clothes for the interview.,面接には適切な服装でお越しください。
53,consequence,結果、影響,Every action has a consequence.,あらゆる行動には結果がある。
54,distinguish,区別する,It's difficult to distinguish between the two twins.,双子の二人を見分けるのは難しい。
55,conclude,結論を出す／締めくくる,We can conclude that the results are reliable.,この結果が信頼できると結論づけることができる。
56,crucial,非常に重要な,Timing is crucial in this operation.,この作戦ではタイミングが非常に重要だ。
57,neglect,無視する／怠る,He often neglects his health.,彼はよく健康をおろそかにする。
58,imply,暗に示す,His tone implied that he was not happy.,彼の口調は満足していないことを暗に示していた。
59,indicate,示す,The results indicate a positive trend.,結果は好ましい傾向を示している。
60,decline,減少する／断る,The number of students has declined recently.,最近、生徒の数が減少している。
61,enhance,高める,New features enhance the user experience.,新機能がユーザー体験を高める。
62,cooperate,協力する,We must cooperate to solve this issue.,この問題を解決するために協力しなければならない。
63,perceive,知覚する,Children may perceive things differently from adults.,子どもは大人とは違う感じ方をするかもしれない。
64,restrict,制限する,They plan to restrict access to the database.,彼らはデータベースへのアクセスを制限する予定だ。
65,concentrate,集中する,Please concentrate on your work.,仕事に集中してください。
66,urge,強く促す,I urge you to reconsider your decision.,あなたに決定を再考するよう強く促したい。
67,pursue,追求する,She decided to pursue a career in medicine.,彼女は医療の道を追求することを決めた。
68,encounter,遭遇する,We encountered many challenges during the trip.,旅の途中で多くの困難に遭遇した。
69,investigate,調査する,The police are investigating the incident.,警察がその事件を調査している。
70,react,反応する,How did he react to the news?,彼はそのニュースにどう反応した？
71,tolerate,我慢する／許容する,She can't tolerate rude behavior.,彼女は失礼な態度を我慢できない。
72,possess,所有する,He possesses great talent.,彼は素晴らしい才能を持っている。
73,expose,暴露する／さらす,The article exposed the truth about the scandal.,その記事はスキャンダルの真実を暴露した。
74,alter,変更する,You can alter the design to fit your needs.,あなたのニーズに合わせてデザインを変更できます。
75,boost,高める,The new campaign helped boost sales.,新しいキャンペーンは売り上げを高めるのに役立った。
76,cease,やめる,The company ceased operations last year.,その会社は昨年、業務を停止した。
77,clarify,明確にする,Could you clarify your last point?,最後のポイントを明確にしていただけますか？
78,coincide,同時に起こる,Their opinions coincide with ours.,彼らの意見は私たちのものと一致している。
79,compel,強いる,The law compels parents to send their children to school.,法律は親に子どもを学校に通わせることを強いている。
80,comprise,含む,The book comprises ten chapters.,その本は10章から成り立っている。
81,consult,相談する,You should consult a doctor about your symptoms.,症状については医者に相談すべきです。
82,contradict,矛盾する,His actions contradict his words.,彼の行動は言葉と矛盾している。
83,dedicate,捧げる,He dedicated his life to science.,彼は人生を科学に捧げた。
84,detect,検出する,The test can detect even small changes.,この検査は小さな変化でも検出できます。
85,diminish,減少する,His influence has diminished over time.,彼の影響力は時間とともに減少した。
86,distort,歪める,The article distorted the facts.,その記事は事実を歪めていた。
87,exclude,除外する,They excluded him from the meeting.,彼らは彼を会議から除外した。
88,facilitate,促進する,The new system facilitates communication.,新しいシステムはコミュニケーションを促進する。
89,inspect,点検する,The manager will inspect the equipment tomorrow.,マネージャーが明日その機器を点検する予定です。
90,integrate,統合する,The new plan integrates feedback from users.,新しい計画はユーザーの意見を統合している。
91,oppose,反対する,Many people opposed the new law.,多くの人が新しい法律に反対した。
92,persist,持続する,"If symptoms persist, consult your doctor.",症状が続く場合は医師に相談してください。
93,precise,正確な,Can you give me a more precise answer?,もっと正確な答えをもらえますか？
94,prohibit,禁止する,The law prohibits smoking in public places.,法律は公共の場での喫煙を禁止している。
95,reinforce,強化する,The findings reinforce our previous conclusion.,その発見は以前の結論を強化する。
96,resolve,解決する,They resolved the issue after a long discussion.,
97,assert,主張する,She asserted her innocence.,彼女は無実を主張した。
98,beneficial,有益な,Regular exercise is beneficial to your health.,定期的な運動は健康に有益です。
